"#","Name","Formula","Include","Mass (Da)","Found At Mass (Da)","Control Found At Mass (Da)","Width (Da)","Adduct","Expected RT (min)","RT Width (min)","Found At RT (min)","Control Found At RT (min)","Library Score","Library Hit","Formula Finder Result","Intensity","Control Intensity","Known Concentration","Calculated Concentration","Area","Control Area","Isotope","Threshold (cps)","Threshold (ratio of control)","Formula Finder Score","Int Std","Combined Score","Mass Error Score","RT Score","Isotope Score","Non-Targeted Peak","S:N","Fragment Mass (Da)","Comments","Extraction Mass (Da)","Error (ppm)","Control Error (ppm)","Error (mDa)","Control Error (mDa)","RT Delta (min)","Control RT Delta (min)","RT % Error","Control RT % Error"
"3","HMDB0015636","C15H17NO2","True","243.125928968","244.136713197985","","0.01","H","0","1","6.95300729298777","","0","No Match","","1142.31531840074","","","","56.0366780494205","","0","100","5","-1","False","0.830458710802423","0.75757633374603","-1","0.939782276387013","False","60.3552572430794","","","244.133754008","12.1211833126985","","2.95918998514821","","6.95300729298777","","0",""
"4","HMDB0014490","C19H27N5O4","True","389.20630468","390.212835803139","","0.01","H","0","1","13.7617364962934","","0","No Match","","4339.64643189905","","","","177.664127400734","","0","100","5","-1","False","0.732105646999551","0.933681701269251","-1","0.429741565595001","False","99.7333329442339","","","390.21412972","-3.31591493653747","","-1.29391686118652","","13.7617364962934","","0",""
"5","HMDB0014581","C5H4N4O","True","136.038510832","137.04649690176","","0.01","H","0","1","1.8158625348746","","0","No Match","","11087.7991409682","","","","420.085562031593","","0","100","5","-1","False","0.829569194019497","0.976499953905244","-1","0.609173054190878","False","525.4550048011","","","137.046335872","1.1750023047378","","0.161029760505471","","1.8158625348746","","0",""
"7","HMDB0014434","C17H21NO","True","255.162314488","256.174453810077","","0.01","H","0","1","6.07642774865542","","0","No Match","","14755.4535738281","","","","886.199455983502","","0","100","5","-1","False","0.712001508416372","0.663170572125201","-1","0.785247912853129","False","387.888332456299","","","256.170139528","16.84147139374","","4.31428207679119","","6.07642774865542","","0",""
"15","HMDB0015024","C17H20N2O5S","True","364.109293816","365.120735377917","","0.01","H","0","1","6.70458288739964","","0","No Match","","13161.6211354171","","","","1316.97923356904","","0","100","5","-1","False","0.786843752361693","0.801897981230907","-1","0.764262409057872","False","314.940601696932","","","365.117118856","9.90510093845465","","3.61652191662643","","6.70458288739964","","0",""
"19","HMDB0015393","C27H37N3O7S","True","547.235222784","548.244546503965","","0.01","H","0","1","22.613741318474","","0","No Match","","3620.22069133777","","","","385.523791076831","","0","100","5","-1","False","0.721443936699118","0.9453278989845","-1","0.385617993271044","False","94.5781753473068","","","548.243047824","2.73360505077501","","1.49867996458397","","22.613741318474","","0",""
"25","HMDB0014619","C18H19NOS","True","297.118736208","298.125866943027","","0.01","H","0","1","15.9919035136658","","0","No Match","","646.211123423389","","","","26.8236908276205","","0","100","5","-1","False","0.770961695096862","0.953422132506297","-1","0.49727103898271","False","26.5861666516597","","","298.126561248","-2.32889337468515","","-0.694304973308135","","15.9919035136658","","0",""
"26","HMDB0014522","C21H28O2","True","312.2089304","313.214896216052","","0.01","H","0","1","20.1744701093296","","0","No Match","","19431.1599999233","","","","1382.47659595376","","0","100","5","-1","False","0.864260543212639","0.881281961101211","-1","0.838728416379781","False","611.750850096674","","","313.21675544","-5.93590194493942","","-1.85922394780391","","20.1744701093296","","0",""
"34","HMDB0015589","C26H26F2N2","True","404.206405556","405.211538579781","","0.01","H","0","1","14.1520618946854","","0","No Match","","883082.795887994","","","","50289.0482270797","","0","100","5","-1","False","0.701215137873269","0.867131210318843","-1","0.452341029204908","False","16779.9257496693","","","405.214230596","-6.64343948405783","","-2.69201621904358","","14.1520618946854","","0",""
"35","HMDB0014729","C24H30F2O6","True","452.20104554","453.209088667135","","0.01","H","0","1","7.44061597915331","","0","No Match","","412863.635173452","","","","23922.7585990225","","0","100","5","-1","False","0.89482740615966","0.990375866446841","-1","0.751504715728888","False","2345.23950056558","","","453.20887058","0.481206677657931","","0.218087134896905","","7.44061597915331","","0",""
"38","HMDB0014850","C15H13FO2","True","244.08995805","245.095631871374","","0.01","H","0","1","7.44728042478613","","0","No Match","","7108.48057148268","","","","328.681082956526","","0","100","5","-1","False","0.842528242049185","0.824460376705364","-1","0.869630040064915","False","359.880990179895","","","245.09778309","-8.77698116473179","","-2.15121862569845","","7.44728042478613","","0",""
"39","HMDB0000121","C19H19N7O6","True","441.139681656","442.147176426981","","0.01","H","0","1","6.28923915372158","","0","No Match","","15534.9634168913","","","","794.053792014528","","0","100","5","-1","False","0.929573891648047","0.985060686120744","-1","0.846343699939001","False","693.838511987726","","","442.147506696","-0.746965693962805","","-0.330269019173102","","6.28923915372158","","0",""
"40","HMDB0005015","C9H17NO2","True","171.125928968","172.133662312659","","0.01","H","0","1","8.42522125966659","","0","No Match","","8709.59214662202","","","","1414.07507980938","","0","100","5","-1","False","0.956835545425508","0.989346036018879","-1","0.90806980953545","False","157.586122396075","","","172.133754008","-0.532698199056025","","-0.0916953407568144","","8.42522125966659","","0",""
"43","HMDB0014862","C14H16N4","True","240.137496672","241.143833819834","","0.01","H","0","1","13.8603157062595","","0","No Match","","3737.99854377203","","","","232.284214385201","","0","100","5","-1","False","0.767393282489632","0.876597882486994","-1","0.603586382493589","False","70.7000475296831","","","241.145321712","-6.17010587565028","","-1.48789216638079","","13.8603157062595","","0",""
"53","HMDB0000159","C9H11NO2","True","165.078978728","166.086736063087","","0.01","H","0","1","5.45859718254125","","0","No Match","","179158.651540692","","","","9689.11273084115","","0","100","5","-1","False","0.935298743227435","0.991847044846497","-1","0.850476290798843","False","4776.54285493233","","","166.086803768","-0.40764775767515","","-0.0677049131354579","","5.45859718254125","","0",""
"54","HMDB0000929","C11H12N2O2","True","204.089877776","205.096613904159","","0.01","H","0","1","6.17001093671182","","0","No Match","","33260.6862866388","","","","1789.75703290215","","0","100","5","-1","False","0.930435812421059","0.893815305937516","-1","0.985366572146372","False","326.662164588549","","","205.097702816","-5.3092347031242","","-1.08891184132176","","6.17001093671182","","0",""
"56","HMDB0014389","C7H7NO3","True","153.042593208","154.048418950681","","0.01","H","0","1","1.27487949478269","","0","No Match","","12853.3763816911","","","","412.378008991782","","0","100","5","-1","False","0.732830748058061","0.740435976551518","-1","0.721422905317875","False","752.858670771407","","","154.050418248","-12.9782011724241","","-1.99929731871862","","1.27487949478269","","0",""
"58","HMDB0014494","C9H15N5O","True","209.12766028","210.135329648089","","0.01","H","0","1","7.79728307692959","","0","No Match","","57516.3471769227","","","","3596.74772838079","","0","100","5","-1","False","0.966380609362835","0.985183662739464","-1","0.938176029297891","False","539.04186631609","","","210.13548532","-0.740816863026788","","-0.155671911045374","","7.79728307692959","","0",""
"60","HMDB0015656","C14H14N2","True","210.115698576","211.12097811105","","0.01","H","0","1","12.1269128236261","","0","No Match","","8926.11886779038","","","","451.157996027198","","0","100","5","-1","False","0.755712906351028","0.758861077511566","-1","0.750990649610221","False","299.039875889009","","","211.123523616","-12.0569461244217","","-2.54550494983619","","12.1269128236261","","0",""
"61","HMDB0001406","C6H6N2O","True","122.048012896","123.055502650047","","0.01","H","0","1","2.76950497894627","","0","No Match","","48732.4882600552","","","","9569.98916652342","","0","100","5","-1","False","0.936404214141731","0.945506696983942","-1","0.922750489878415","False","1068.84433530725","","","123.055837936","-2.72466515080292","","-0.335285953227071","","2.76950497894627","","0",""
"63","HMDB0001488","C6H5NO2","True","123.032028488","124.038844260089","","0.01","H","0","1","1.80718160467376","","0","No Match","","24842.7699202919","","","","788.583069611046","","0","100","5","-1","False","0.89118747422473","0.837267155328959","-1","0.972067952568387","False","540.232971286072","","","124.039853528","-8.13664223355205","","-1.00926791085953","","1.80718160467376","","0",""
"69","HMDB0000210","C9H17NO5","True","219.110672888","220.118283732627","","0.01","H","0","1","5.68764367736601","","0","No Match","","137707.071138222","","","","8951.52372328624","","0","100","5","-1","False","0.960697876531037","0.980538176019562","-1","0.93093742729825","False","5405.36860719192","","","220.118497928","-0.973091199021886","","-0.214195373075654","","5.68764367736601","","0",""
"72","HMDB0015557","C16H20N2","True","240.162648816","241.173185034359","","0.01","H","0","1","15.770560847195","","0","No Match","","158656.184089049","","","","8700.51951064587","","0","100","5","-1","False","0.843003250514117","0.775164984664768","-1","0.944760649288139","False","1972.59696601278","","","241.170473856","11.2417507667616","","2.71117835939094","","15.770560847195","","0",""
"75","HMDB0014375","C8H17NO2","True","159.125928968","160.133409853611","","0.01","H","0","1","1.44615472892637","","0","No Match","","11735.6627653355","","","","664.539446558504","","0","100","5","-1","False","0.899563792158123","0.957016633857878","-1","0.81338452960849","False","423.13557450259","","","160.133754008","-2.14916830710611","","-0.344154389011919","","1.44615472892637","","0",""
"76","HMDB0000239","C8H11NO3","True","169.073893368","170.081290357324","","0.01","H","0","1","1.96252199230603","","0","No Match","","146672.932658684","","","","12597.6932139182","","0","100","5","-1","False","0.901201209988508","0.949665292717397","-1","0.828505085895174","False","4355.24156466279","","","170.081718408","-2.51673536413015","","-0.428050675509439","","1.96252199230603","","0",""
"79","HMDB0000244","C17H20N4O6","True","376.138284672","377.1456389133","","0.01","H","0","1","7.22409575827115","","0","No Match","","79094.4572155701","","","","3446.2189327893","","0","100","5","-1","False","0.951475975017163","0.975033617567215","-1","0.916139511192084","False","1377.90227512071","","","377.146109712","-1.24831912163924","","-0.470798700405339","","7.22409575827115","","0",""
"80","HMDB0015088","C15H19N5","True","269.1640458","270.169570039511","","0.01","H","0","1","8.06889956378038","","0","No Match","","4480.00541387004","","","","214.230557119499","","0","100","5","-1","False","0.75637503755565","0.829678753628681","-1","0.646419463446103","False","173.23376686885","","","270.17187084","-8.51606231856596","","-2.30080048879699","","8.06889956378038","","0",""
"82","HMDB0015390","C16H15F6N5O","True","407.11807978","408.129210838129","","0.01","H","0","1","17.0133288124935","","0","No Match","","1939.31799157598","","","","119.04444046647","","0","100","5","-1","False","0.719200937849631","0.837990282411406","-1","0.541016921006967","False","48.7854679894752","","","408.12590482","8.10048587942967","","3.30601812902387","","17.0133288124935","","0",""
"84","HMDB0014958","C22H19N3O4","True","389.137556344","390.142641845375","","0.01","H","0","1","8.12600022413171","","0","No Match","","10310.0221038316","","","","393.676086850064","","0","100","5","-1","False","0.862016432189837","0.859563190757086","-1","0.865696294338964","False","303.28128951961","","","390.145381384","-7.02184046214571","","-2.73953862512144","","8.12600022413171","","0",""
"87","HMDB0015538","C14H12O3S","True","260.0507162","261.058141930698","","0.01","H","0","1","14.4689236987767","","0","No Match","","3997.04793315398","","","","203.064544735255","","0","100","5","-1","False","0.76016649076727","0.969408447584332","-1","0.446303555541676","False","143.812973379663","","","261.05854124","-1.52957762078341","","-0.399309302395068","","14.4689236987767","","0",""
"90","HMDB0014758","C21H27FO6","True","394.17916717","395.183098415143","","0.01","H","0","1","16.2271894246481","","0","No Match","","5803.82088111521","","","","296.938193910191","","0","100","5","-1","False","0.829448599470718","0.802939118241493","-1","0.869212821314556","False","76.8526614883256","","","395.18699221","-9.85304408792536","","-3.89379485721975","","16.2271894246481","","0",""
"91","HMDB0014947","C17H20N2O2","True","284.152478096","285.161057958988","","0.01","H","0","1","13.2630386193329","","0","No Match","","2306","","","","139.769039811527","","0","100","5","-1","False","0.702356519113513","0.94705974293948","-1","0.335301683374565","False","44.7986340684138","","","285.160303136","2.64701285302602","","0.754822987573789","","13.2630386193329","","0",""
"94","HMDB0015596","C17H25N3O2","True","303.194677304","304.202972945951","","0.01","H","0","1","6.60972758022466","","0","No Match","","1081.78872892109","","","","56.180645112899","","0","100","5","-1","False","0.823878314609196","0.96905995532686","-1","0.606105853532701","False","41.0718410785924","","","304.202502344","1.547002233657","","0.470601950610217","","6.60972758022466","","0",""
"96","HMDB0014602","C21H26O3","True","326.18819496","349.17800198401","","0.01","Na","0","1","16.6032179125477","","0","No Match","","5040.75630060141","","","","966.909044687579","","0","100","5","-1","False","0.763143241671066","0.997862178391953","-1","0.411064836589736","False","60.3172738637442","","","349.17796466","0.10689108040235","","0.037324009895201","","16.6032179125477","","0",""
"98","HMDB0015636","C15H17NO2","True","243.125928968","266.115379644201","","0.01","Na","0","1","1.43768764064468","","0","No Match","","11275.653392708","","","","680.934062776559","","0","100","5","-1","False","0.754879509415773","0.976023676881475","-1","0.423163258217221","False","337.672282004388","","","266.115698668","-1.19881615592626","","-0.319023798908802","","1.43768764064468","","0",""
"114","HMDB0015393","C27H37N3O7S","True","547.235222784","570.224351501958","","0.01","Na","0","1","8.01580810745977","","0","No Match","","4807.27445881424","","","","375.722238143226","","0","100","5","-1","False","0.856101144061185","0.977518276103328","-1","0.673975445997971","False","151.759883035154","","","570.224992484","-1.1240861948336","","-0.64098204200036","","8.01580810745977","","0",""
"119","HMDB0015315","C22H24ClN5O2","True","425.161853009","448.149812250559","","0.01","Na","0","1","9.71879014217562","","0","No Match","","1375.23056543956","","","","73.6047525692319","","0","100","5","-1","False","0.829604861851232","0.919203307568823","-1","0.695207193274844","False","65.7783919941961","","","448.151622709","-4.03983462155884","","-1.81045844112759","","9.71879014217562","","0",""
"121","HMDB0014522","C21H28O2","True","312.2089304","335.197173487849","","0.01","Na","0","1","10.7251538868578","","0","No Match","","9348.89727454566","","","","499.491182127518","","0","100","5","-1","False","0.770391365143351","0.908913002891579","-1","0.562608908521008","False","531.085949842711","","","335.1987001","-4.55434985542105","","-1.52661215133776","","10.7251538868578","","0",""
"126","HMDB0014951","C22H28N2O","True","336.220163776","359.210371450249","","0.01","Na","0","1","6.87185701882895","","0","No Match","","105118.842892693","","","","4613.65014681152","","0","100","5","-1","False","0.867792762693995","0.975614580307289","-1","0.706060036274054","False","1807.06427975877","","","359.209933476","1.21927098463557","","0.43797424928016","","6.87185701882895","","0",""
"129","HMDB0015589","C26H26F2N2","True","404.206405556","427.194667035449","","0.01","Na","0","1","16.5143705198849","","0","No Match","","11963.0390598435","","","","736.471379114687","","0","100","5","-1","False","0.788570829568856","0.929389791471287","-1","0.57734238671521","False","208.828160997154","","","427.196175256","-3.53051042643565","","-1.50822055087474","","16.5143705198849","","0",""
"130","HMDB0014729","C24H30F2O6","True","452.20104554","475.19173767184","","0.01","Na","0","1","11.5660156321389","","0","No Match","","3240.20352050685","","","","228.115936637791","","0","100","5","-1","False","0.77979091752258","0.96117636070233","-1","0.507712752752955","False","86.7135615872187","","","475.19081524","1.9411819648835","","0.922431840422178","","11.5660156321389","","0",""
"138","HMDB0014862","C14H16N4","True","240.137496672","263.123581980391","","0.01","Na","0","1","9.00069989770416","","0","No Match","","8623.43344352813","","","","256.950978495912","","0","100","5","-1","False","0.791134367975483","0.719953643714639","-1","0.897905454366749","False","251.890358575984","","","263.127266372","-14.002317814268","","-3.68439160934031","","9.00069989770416","","0",""
"139","HMDB0014946","C16H16ClN3O3S","True","365.060091113","388.050632077825","","0.01","Na","0","1","9.01325","","0","No Match","","1386","","","","40.5719999999994","","0","100","5","-1","False","0.709756343714847","0.960249189461453","-1","0.334017075094939","False","2095.03281125955","","","388.049860813","1.98754052692737","","0.771264824834361","","9.01325","","0",""
"146","HMDB0014792","C26H40O5","True","432.2875748","455.276291577657","","0.01","Na","0","1","20.3776434058417","","0","No Match","","5598.08503084711","","","","303.842615432031","","0","100","5","-1","False","0.902937246181452","0.953745893304241","-1","0.826724275497268","False","115.476327597859","","","455.2773445","-2.31270533478794","","-1.05292234343324","","20.3776434058417","","0",""
"148","HMDB0000159","C9H11NO2","True","165.078978728","188.070156513881","","0.01","Na","0","1","6.17136235414219","","0","No Match","","42683.3687770455","","","","2411.9950423553","","0","100","5","-1","False","0.874802182316918","0.850258387695646","-1","0.911617874248825","False","1082.8540080065","","","188.068748428","7.48708061521768","","1.40808588068353","","6.17136235414219","","0",""
"152","HMDB0015094","C22H30O5","True","374.2093244","397.199072869411","","0.01","Na","0","1","15.3499194518424","","0","No Match","","57548.026926462","","","","3240.98673444818","","0","100","5","-1","False","0.946242645346842","0.998930985019883","-1","0.86721013583728","False","306.256343835507","","","397.1990941","-0.05345074900587","","-0.021230589084098","","15.3499194518424","","0",""
"158","HMDB0001488","C6H5NO2","True","123.032028488","146.021137069215","","0.01","Na","0","1","1.08778219272826","","0","No Match","","766.155420255673","","","","50.4279029634606","","0","100","5","-1","False","0.760822176707731","0.909449302279511","-1","0.537881488350062","False","47.644727741779","","","146.021798188","-4.52753488602446","","-0.661118785416193","","1.08778219272826","","0",""
"161","HMDB0014420","C24H26N6O3","True","446.206639008","469.201403246781","","0.01","Na","0","1","13.2997300192523","","0","No Match","","10503.4953684135","","","","625.848375049667","","0","100","5","-1","False","0.706866243173217","0.787102429267285","-1","0.586511964032114","False","336.557498911006","","","469.196408708","10.6448785366357","","4.99453878052236","","13.2997300192523","","0",""
"163","HMDB0015396","C23H27FN4O3","True","426.206719282","449.198394483873","","0.01","Na","0","1","10.6695654175428","","0","No Match","","4611.77700472507","","","","240.415067550667","","0","100","5","-1","False","0.774861838074319","0.915159538454176","-1","0.564415287504533","False","247.989216182564","","","449.196488982","4.2420230772912","","1.90550187249983","","10.6695654175428","","0",""
"164","HMDB0000210","C9H17NO5","True","219.110672888","242.099812136377","","0.01","Na","0","1","5.69691493982915","","0","No Match","","4097.5448087476","","","","211.152841062381","","0","100","5","-1","False","0.797444643993714","0.947918176782783","-1","0.57173434481011","False","267.805040193384","","","242.100442588","-2.60409116086083","","-0.630451622583905","","5.69691493982915","","0",""
"167","HMDB0015557","C16H20N2","True","240.162648816","263.152178054571","","0.01","Na","0","1","13.7176066636623","","0","No Match","","112144.224635344","","","","8114.07505194559","","0","100","5","-1","False","0.910479408694894","0.981724551122792","-1","0.803611695053048","False","3196.29438730965","","","263.152418516","-0.913772443860418","","-0.240461428575145","","13.7176066636623","","0",""
"168","HMDB0014830","C17H19N3O","True","281.152812424","304.142375289435","","0.01","Na","0","1","11.3594223549582","","0","No Match","","4687.40925066522","","","","315.4961811104","","0","100","5","-1","False","0.92304084263608","0.98639884206432","-1","0.828003843493721","False","155.683822835507","","","304.142582124","-0.680057896784002","","-0.206834564721703","","11.3594223549582","","0",""
"169","HMDB0014998","C21H28O5","True","360.19367432","383.183343258134","","0.01","Na","0","1","10.7186384661152","","0","No Match","","4911.14717370074","","","","876.840423811567","","0","100","5","-1","False","0.738078955500234","0.994740802721778","-1","0.353086184667919","False","69.9380402891588","","","383.18344402","-0.262959863911103","","-0.100761866292487","","10.7186384661152","","0",""
"170","HMDB0014375","C8H17NO2","True","159.125928968","182.116931733475","","0.01","Na","0","1","5.80015412986205","","0","No Match","","4481.99826027034","","","","437.324865152021","","0","100","5","-1","False","0.848822285426007","0.864584384080085","-1","0.825179137444889","False","193.901834747257","","","182.115698668","6.77078079599574","","1.23306547519064","","5.80015412986205","","0",""
"171","HMDB0000239","C8H11NO3","True","169.073893368","192.065423029023","","0.01","Na","0","1","5.47633808463521","","0","No Match","","1003.10966063349","","","","61.1253581270296","","0","100","5","-1","False","0.77522386138331","0.816731494698845","-1","0.712962411410008","False","61.4281672679677","","","192.063663068","9.16342526505776","","1.75996102265685","","5.47633808463521","","0",""
"175","HMDB0015088","C15H19N5","True","269.1640458","292.153002748062","","0.01","Na","0","1","7.45283333333333","","0","No Match","","1030","","","","23.2759999999994","","0","100","5","-1","False","0.716878045479575","0.944361367537505","-1","0.375653062392678","False","65.7211705457904","","","292.1538155","-2.78193162312473","","-0.812751938155998","","7.45283333333333","","0",""
"176","HMDB0005007","C25H38O5","True","418.27192472","441.26070595573","","0.01","Na","0","1","21.9146106009518","","0","No Match","","11412.5462247965","","","","695.984761061226","","0","100","5","-1","False","0.835884054861549","0.955198274279345","-1","0.656912725734856","False","170.55486264269","","","441.26169442","-2.24008628603274","","-0.988464270221812","","21.9146106009518","","0",""
"177","HMDB0015390","C16H15F6N5O","True","407.11807978","430.11257797748","","0.01","Na","0","1","21.242971053601","","0","No Match","","876.865271418937","","","","34.2916937181769","","0","100","5","-1","False","0.76073840462409","0.780125032091837","-1","0.73165846342247","False","112.622019851689","","","430.10784948","10.9937483954082","","4.7284974800732","","21.242971053601","","0",""
"179","HMDB0014958","C22H19N3O4","True","389.137556344","412.12907276576","","0.01","Na","0","1","8.54392841856467","","0","No Match","","1351.47648804425","","","","148.829661826819","","0","100","5","-1","False","0.895453426242774","0.915233877999592","-1","0.865782748607546","False","90.925941713576","","","412.127326044","4.2383061000204","","1.74672175995738","","8.54392841856467","","0",""
"182","HMDB0015538","C14H12O3S","True","260.0507162","283.041490804449","","0.01","Na","0","1","7.44133333333333","","0","No Match","","1018","","","","14.6919109050534","","0","100","5","-1","False","0.736050074525642","0.928992176068286","-1","0.446636922211677","False","56.7590943035242","","","283.0404859","3.5503911965857","","1.0049044494167","","7.44133333333333","","0",""
"183","HMDB0015047","C8H13N3O4S","True","247.062677904","270.055590692067","","0.01","Na","0","1","16.8926576923077","","0","No Match","","756","","","","21.8493420975507","","0","100","5","-1","False","0.712444936012424","0.767223878570313","-1","0.630276522175591","False","22.8953026934771","","","270.052447604","11.6388060714843","","3.14308806679264","","16.8926576923077","","0",""
"186","HMDB0014947","C17H20N2O2","True","284.152478096","307.140859534237","","0.01","Na","0","1","6.72917976126061","","0","No Match","","1595.12699326454","","","","74.1404026385335","","0","100","5","-1","False","0.727783827824409","0.90960138029735","-1","0.455057499114997","False","43.4919442964999","","","307.142247796","-4.5199309851325","","-1.38826176265638","","6.72917976126061","","0",""
"187","HMDB0014354","C25H30NO3","True","392.222569128","415.211696040563","","0.01","Na","0","1","15.419982421263","","0","No Match","","700697.905135148","","","","35883.5727126053","","0","100","5","-1","False","0.961757494320267","0.969038134148604","-1","0.950836534577761","False","6289.67694376738","","","415.212338828","-1.54809329256981","","-0.642787436731851","","15.419982421263","","0",""
"190","HMDB0000305","C20H30O","True","286.22966584","309.218181591219","","0.01","Na","0","1","11.0864519185836","","0","No Match","","7812.15374194566","","","","440.187590210661","","0","100","5","-1","False","0.86340031723544","0.918895862523916","-1","0.780156999302726","False","104.25970716287","","","309.21943554","-4.05520687380418","","-1.25394878051566","","11.0864519185836","","0",""
"196","HMDB0015633","C17H27N3O4S","True","369.172228464","408.137594857149","","0.01","K","0","1","19.8914250592662","","0","No Match","","3111.37855056691","","","","134.487673241846","","0","100","5","-1","False","0.756611311686666","0.918728394075337","-1","0.513435688103659","False","124.924299669219","","","408.135936364","4.06358029623315","","1.65849314919342","","19.8914250592662","","0",""
"204","HMDB0015353","C25H34O6","True","430.2355392","469.201403246781","","0.01","K","0","1","13.3005147165161","","0","No Match","","13018.757626467","","","","746.440252632005","","0","100","5","-1","False","0.780901137303189","0.908092487619928","-1","0.590114111828079","False","417.571296693929","","","469.1992471","4.59537561900359","","2.15614678057818","","13.3005147165161","","0",""
"205","HMDB0015024","C17H20N2O5S","True","364.109293816","403.076147107818","","0.01","K","0","1","6.69950488628713","","0","No Match","","1475.76753265812","","","","117.994517494749","","0","100","5","-1","False","0.836640619505257","0.843929421976229","-1","0.825707415798799","False","71.6310271040608","","","403.073001716","7.80352890118856","","3.14539181817963","","6.69950488628713","","0",""
"206","HMDB0015328","C9H15NO3S","True","217.077265328","256.041180173317","","0.01","K","0","1","7.21135","","0","No Match","","4702.67829772714","","","","128.404281474928","","0","100","5","-1","False","0.705888953894916","0.983834984350196","-1","0.288969908211995","False","304.126869597151","","","256.040973228","0.808250782490196","","0.206945316961082","","7.21135","","0",""
"218","HMDB0014570","C14H19N5O4","True","321.14370436","360.107895403029","","0.01","K","0","1","7.44133333333333","","0","No Match","","1018","","","","12.843225501412","","0","100","5","-1","False","0.746709620291431","0.973166726760248","-1","0.407023960588205","False","32.6645830937443","","","360.10741226","1.34166366198761","","0.483143029441635","","7.44133333333333","","0",""
"222","HMDB0014342","C13H12F2N6O","True","306.104065668","345.071065572851","","0.01","K","0","1","15.4649190004534","","0","No Match","","10031.0964340905","","","","1380.52567935913","","0","100","5","-1","False","0.852326108769804","0.809196621445883","-1","0.917020339755685","False","334.774705608159","","","345.067773568","9.54016892770583","","3.29200485134606","","15.4649190004534","","0",""
